IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;CV_PRICE_1;CV_CURRENCY_1
336;Средство для ручной мойки авто HANDS SHINE Complex (0,5 л);;0;180.00;RUB
337;Средство для ручной мойки авто HANDS SHINE Complex (1 л)				;;0;310.00;RUB
338;Очиститель кузова универсальный LOCO Complex (0,5 л);;0;320.00;RUB
339;Очиститель кузова универсальный LOCO Complex (1 л);;0;410.00;RUB
340;Средство для мойки авто MAGNAT Complex (1 л) ;;0;440.00;RUB
341;Средство для мойки авто MAGNAT Complex (20 л);;0;3530.00;RUB
342;Средство для мойки авто MAGNAT Complex (5 л);;0;1420.00;RUB
343;Средство мойки класс стандарт MASTER Complex (1 л);;0;360.00;RUB
344;Средство мойки класс стандарт MASTER Complex (20 л);;0;2520.00;RUB
345;Средство мойки класс стандарт MASTER Complex (5 л);;0;1070.00;RUB
346;Средство для мойки авто MASTER TONE Complex (1 л);;0;400.00;RUB
347;Средство для мойки авто MASTER TONE Complex (20 л);;0;2840.00;RUB
348;Средство для мойки авто MASTER TONE Complex (5 л);;0;1180.00;RUB
349;Очиститель дигателя MOBILE (0,5 л);;0;220.00;RUB
350;Очиститель дигателя MOBILE (1 л);;0;290.00;RUB
351;Очиститель дигателя MOBILE (5 л);;0;800.00;RUB
352;Комплект NANEX водооталкивающее нанопокрытие для стекол;;0;2100.00;RUB
353;Нано-средство для сушки, блеска, силикона автомобиля Complex NANO FINISH (1 кг);;0;730.00;RUB
354;Средство для мойки авто NOVICE Complex (1 л);;0;340.00;RUB
355;Средство для мойки авто NOVICE Complex (20 л);;0;2260.00;RUB
356;Средство для мойки авто NOVICE Complex (5 л);;0;970.00;RUB
357;Очиститель колесных дисков ORBIS (0,5 л);;0;210.00;RUB
358;Очиститель колесных дисков ORBIS (1 л)					;;0;440.00;RUB
359;Матовая полироль-очиститель для пластиковых, кожаных изделий POLITURA (0,5 л) Бабл Гам;;0;310.00;RUB
360;Глянцевая полироль-очиститель для пластиковых, кожаных изделий POLITURA GLOSS (0,5 л) Виноград;;0;320.00;RUB
361;Средство для мойки авто PROFY Complex (1 л);;0;440.00;RUB
362;Средство для мойки авто PROFY Complex (20 л);;0;3370.00;RUB
363;Средство для мойки авто PROFY Complex (5 л);;0;1390.00;RUB
364;Очиститель - кондиционер для кожи Complex PROPELLA (0,5 л);;0;300.00;RUB
365;Очиститель - кондиционер для кожи Complex PROPELLA (1 л);;0;560.00;RUB
366;Чернитель резины Complex ROTAE (0,5 л);;0;240.00;RUB
367;Чернитель резины Complex ROTAE (1 л);;0;430.00;RUB
368;Чернитель резины Complex ROTAE (5 л);;0;1380.00;RUB
369;Чернитель резины на основе силикона ROTAE VIS (0,5 л);;0;570.00;RUB
370;Чернитель резины на основе силикона Complex ROTAE VIS (1 л);;0;770.00;RUB
371;Чернитель резины на основе силикона Complex ROTAE VIS (5 л);;0;2770.00;RUB
372;Очищающая паста для рук, SAPO Complex (1 л);;0;340.00;RUB
373;Средство для мойки авто SENZA Complex (1 л);;0;430.00;RUB
374;Средство для мойки авто SENZA Complex (20 л);;0;3410.00;RUB
375;Средство для мойки авто SENZA Complex (5 л);;0;1230.00;RUB
376;Силиконовая смазка SILICONE Complex (0,25 л);;0;430.00;RUB
377;Универсальное средство для химчистки салона Complex TANTUM (0,5 л);;0;200.00;RUB
378;Универсальное средство для химчистки салона Complex TANTUM (1 л);;0;320.00;RUB
379;Универсальное средство для химчистки салона Complex TANTUM (5 л);;0;950.00;RUB
380;Средство мойки класс эконом TIRO Complex (1 л);;0;300.00;RUB
381;Средство мойки класс эконом TIRO Complex (20 л);;0;1760.00;RUB
382;Средство мойки класс эконом TIRO Complex (5 л);;0;820.00;RUB
383;Воск для кузова TUTELA FAST Complex  (1 л) ;;0;360.00;RUB
384;Воск для кузова TUTELA FAST Complex (5 л);;0;1170.00;RUB
385;Воск для кузова TUTELA Complex (1 л) Бабл Гам;;0;580.00;RUB
386;Воск для кузова TUTELA Complex (1 л) Вишня;;0;580.00;RUB
387;Воск для кузова TUTELA Complex (5 л) Вишня;;0;1930.00;RUB
388;Средство для мойки авто TUTOR Complex (1 л);;0;430.00;RUB
389;Средство для мойки авто TUTOR Complex (20 л);;0;3370.00;RUB
390;Средство для мойки авто TUTOR Complex (5 л);;0;1390.00;RUB
391;Комплект автокосметики TWIN Complex;;0;690.00;RUB
392;Средство для мойки авто UNIOR Complex (1 л);;0;260.00;RUB
393;Средство для мойки авто UNIOR Complex (20 л);;0;1500.00;RUB
394;Средство для мойки авто UNIOR Complex (5 л);;0;700.00;RUB
395;Концентрированный стеклоочиститель WITRUM (0,5 л);;0;190.00;RUB
396;Высокопенное средство для бесконтактной мойки DIY (20 л)					;;0;4170.00;RUB
397;Наношампунь для ручной обработки автомобиля Complex NANO NEXT (1 л)					;;0;580.00;RUB
398;Наношампунь для ручной обработки автомобиля Complex NANO NEXT (5 л)					;;0;1950.00;RUB
399;IPC Portotecnica G 131-C I 1306A-M мойка высокого давления;;0;13340.00;RUB
400;IPC Portotecnica PW-C23P I 1408A мойка высокого давления;;0;26040.00;RUB
401;IPC Portotecnica G 161-C I1610A-M мойка высокого давления;;0;22030.00;RUB
402;IPC Portotecnica PW-C23P I 1610A  мойка высокого давления с барабаном;;0;34900.00;RUB
