IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;IP_PROP34
287;HD 10/25-4 S мойка высокого давления;;0;1.286-902.0
288;HDS 6/14 C мойка высокого давления;;0;1.169-900.0
289;HDS 8/18-4 C Classic мойка высокого давления;;0;1.174-909.0
290;HDS 8/18-4 M мойка высокого давления;;0;1.077-908.0
291;HDS 9/18-4 M мойка высокого давления;;0;1.077-911.0
292;HDS 10/20-4 M *EU-I мойка высокого давления;;0;1.071-900.0
293;NT 360 Eco промышленный пылесос Antracite;;0;1.184-120.0
294;PUZZI 10/1 профессиональный пылесос ;;0;1.100-130.0
295;ROCK prof K1 (5) мешки-пылесборники;;0;K1
296;Мешки-пылесборники ROCK prof K3 (16544) ;;0;К3
297;"Щeт&#312;a c &#312;oлёcи&#312;aми и пepe&#312;лючaтeлeм RОСК рrоf UN21 (А3236)";;0;UN21
298;"Мeш&#312;и для пылecoca RОСКрrоf К25";;0;K25
299;Мешки-пылесборники ROCKprof SB-K1 (SB 6026) ;;0;SB-K1 
300;"RОСК рrоf UN3 mіnі-ТURВО ВRUЅН - щeт&#312;a для пылecoca yнивepcaльнaя";;0;UN3
301;ROCKprof SB-K1 (SB 6026) - мешок-пылесборник многоразовый ;;0;SB-K1
302;RОСК рrоf НМF1 НЕРА фильтp для пылecoca;;0;НМF1
303;RОСК рrоf НМF5 НЕРА фильтp для пылecoca КАRСНЕR ;;0;НМF5
304;RОСКрrоf ЅВ-К11 (SB 7053) мешок-пылесборник мнoгopaзoвый ;;0;ЅВ-К11
305;"RОСКрrоf ЅВ-К25 (7592) мнoгopaзoвый мeшo&#312; для пылecoca КАRСНЕR";;0;ЅВ-К25
306;Комплект круглых щеток к пароочистителю (4 шт.);;0;2.863-058.0
307;Всасывающий шланг для пылесосов Karcher DS;;0;6.901-076.0
308;Насадка для влажной и сухой уборки пола DT 35;;0;6.903-284.0
309;Точечное сопло;;0;4.130-021.0
310;Рукоятка для пылесосов Karcher VC 6;;0;4.195-125.0
311;Быстросъёмная муфта для бытовых моек ;;0;4.470-041.0
312;Фильтр тонкой очистки воды (в патрубок АВД) ;;0;5.731-598.0
313;Всасывающий шланг DN 35 для пылесосов серии WD 4.ХХХ и 5.ХХХ (2.2 м ) ;;0;9.012-004.0
314;Всасывающий шланг для пылесосов WD (2.200, 3.200, 3.300, 3.500, 3.800), (2 м.) ;;0;9.012-109.0
315;IPC Portotecnica G 131 - C I1306A PRT мойка высокого давления;;0;IDAF94232
316;IPC Portotecnica G151 - C I1508A - M  мойка высокого давления;;0;IDAF94238
320;Нейтрализатор запаха BLOCK бабл гам;;0;BLOCK бабл 0,5
321;Нейтрализатор запаха BLOCK кожа;;0;BLOCK кожа 0,5
322;Нейтрализатор запаха BLOCK кофе;;0;BLOCK кофе 0,5
323;Средство для устранения плесени FUNGUS Complex;;0;FUNGUS 0,5
324;Низкопенный очиститель ковровых покрытий NOVATEC (5 л);;0;NOVATEC 5
325;Средство мойки класс суперпремиум ACE Complex (1 л);;0;ACE 1
326;Средство мойки класс суперпремиум ACE Complex (20 л);;0;ACE 20
327;Средство мойки класс суперпремиум ACE Complex (5 л);;0;ACE 5
328;Средство для удаления следов насекомых DEBUG Complex (0,5 л);;0;DEBUG 0,5
329;Средство для удаления следов насекомых DEBUG Complex (1 л);;0;DEBUG 1
330;Средство для удаления следов насекомых DEBUG Complex (5 л);;0;DEBUG 5
